second,top,bottom,left,right,total
573,0,0,0,1,1
574,0,0,0,2,2
575,0,0,0,0,0
576,0,0,0,1,1
577,0,0,0,2,2
578,0,0,0,2,2
579,0,0,0,1,1
580,0,0,0,1,1
581,0,0,0,0,0
582,0,0,1,1,2
583,0,0,0,0,0
584,0,0,0,0,0
585,0,0,0,0,0
586,0,0,0,2,2
587,0,0,0,0,0
588,0,0,0,0,0
589,0,0,0,2,2
590,0,0,0,0,0
591,0,0,0,2,2
592,0,0,0,0,0
593,0,0,0,2,2
594,0,0,0,0,0
595,0,0,0,2,2
596,0,0,0,1,1
597,0,0,0,1,1
598,0,0,0,0,0
599,0,0,1,0,1
600,0,0,0,0,0
601,0,0,1,0,1
602,0,0,0,0,0
603,0,0,0,0,0
604,0,0,0,0,0
605,0,0,0,0,0
606,0,0,0,0,0
607,0,0,0,0,0
608,0,0,0,0,0
609,0,0,0,0,0
610,0,0,0,0,0
611,0,0,0,0,0
612,0,0,0,1,1
613,0,0,0,0,0
614,0,0,0,0,0
615,0,0,0,0,0
616,0,0,0,0,0
617,0,0,0,0,0
618,0,0,0,0,0
619,0,0,0,0,0
620,3,3,0,0,6
621,0,0,0,0,0
622,0,1,0,0,1
623,2,1,0,0,3
624,0,1,0,0,1
625,2,1,0,0,3
626,1,0,0,0,1
627,1,2,0,0,3
628,3,0,0,0,3
629,1,3,0,1,5
630,2,1,0,0,3
631,2,0,0,0,2
632,2,1,0,0,3
633,0,4,0,0,4
634,0,0,0,0,0
635,0,0,0,0,0
636,2,1,0,0,3
637,0,0,0,0,0
638,2,1,0,1,4
639,0,0,0,0,0
640,2,1,0,0,3
641,2,0,0,0,2
642,1,1,0,0,2
643,0,0,0,0,0
644,2,0,0,0,2
645,1,0,0,0,1
646,0,0,0,0,0
647,1,1,0,0,2
648,1,0,0,0,1
649,2,0,0,0,2
650,0,0,0,0,0
651,1,1,0,1,3
652,1,0,0,0,1
653,0,0,0,0,0
654,2,0,0,0,2
655,0,0,0,1,1
656,2,0,0,0,2
657,0,0,0,0,0
658,3,0,0,0,3
659,1,0,0,0,1
660,0,0,0,0,0
661,2,1,0,0,3
662,1,0,0,0,1
663,0,0,0,0,0
664,0,0,0,0,0
665,0,0,0,0,0
666,0,0,0,0,0
667,0,0,0,0,0
668,0,0,0,0,0
669,0,0,0,0,0
670,1,0,0,0,1
671,0,2,0,0,2
672,1,1,0,0,2
673,0,0,0,0,0
674,0,0,0,0,0
675,0,0,0,0,0
