second,phase,queue_top,queue_bottom,queue_left,queue_right,total_queue,arrivals_top,arrivals_bottom,arrivals_left,arrivals_right
477,vertical_green,52,14,0,21,87,0,0,0,0
478,vertical_green,52,13,0,21,86,1,0,0,0
479,vertical_green,51,13,0,22,86,0,1,0,1
480,vertical_green,50,14,0,22,86,0,2,0,0
481,vertical_green,50,13,0,22,85,1,0,0,0
482,vertical_green,49,13,0,22,84,0,1,0,0
483,vertical_green,48,12,0,22,82,0,0,0,0
484,vertical_green,48,12,0,22,82,1,1,0,0
485,vertical_green,47,12,0,22,81,0,1,0,0
486,vertical_green,46,11,0,22,79,0,0,0,0
487,vertical_green,45,11,0,22,78,0,1,0,0
488,vertical_green,45,11,0,22,78,1,1,0,0
489,vertical_green,44,10,0,22,76,0,0,0,0
490,vertical_green,44,11,0,22,77,1,2,0,0
491,vertical_green,43,10,0,22,75,0,0,0,0
492,vertical_green,43,10,0,22,75,1,1,0,0
493,vertical_green,42,9,0,22,73,0,0,0,0
494,vertical_green,42,9,0,22,73,1,1,0,0
495,vertical_green,41,9,0,22,72,0,1,0,0
496,vertical_green,41,9,0,22,72,1,1,0,0
497,vertical_green,40,8,0,22,70,0,0,0,0
498,vertical_green,40,7,0,22,69,1,0,0,0
499,vertical_green,39,7,0,22,68,0,1,0,0
500,vertical_green,39,7,0,22,68,1,1,0,0
501,vertical_green,38,6,0,22,66,0,0,0,0
502,vertical_green,38,6,0,22,66,1,1,0,0
503,vertical_green,38,6,0,22,66,1,1,0,0
504,vertical_green,37,5,0,22,64,0,0,0,0
505,vertical_green,36,4,0,22,62,0,0,0,0
506,vertical_green,35,3,0,22,60,0,0,0,0
507,vertical_yellow,35,3,0,22,60,0,0,0,0
508,vertical_yellow,35,3,0,22,60,0,0,0,0
509,all_red_2,35,3,0,23,61,0,0,0,1
510,horizontal_green,35,3,0,24,62,0,0,1,2
511,horizontal_green,35,3,0,23,61,0,0,0,0
512,horizontal_green,35,3,0,24,62,0,0,0,2
